,Species,Season,Inspected,Longitude,Latitude,Watered
181,QUERCUS PHELLOS,Spring 2019,Yes,-71.14203,42.2880300399,No
182,QUERCUS PHELLOS,Spring 2019,Yes,-71.14203,42.2880300399,No
183,LIQUIDAMBAR STYR,Spring 2019,Yes,-71.0784725893,42.2882128329,Yes
184,GLEDITSIA TRI. INERMIS HALKA,Fall 2018,Yes,-71.1610499999,42.2882200399,No
185,GYMNOCLADUS DIOICUS,Spring 2019,Yes,-71.0781799999,42.2882500402,Yes
186,ACER GINNALA FLAME,Spring 2019,Yes,-71.1641200004,42.28841004,No
187,PYRUS CALLERYANA 'CHANTICLEER',Spring 2019,Yes,-71.0856499999,42.28841004,No
188,QUERCUS PALUSTRIS,Spring 2019,Yes,-71.0724499997,42.2884900398,No
189,ACER GINNALA FLAME,Spring 2019,Yes,-71.1516299999,42.2885200399,No
190,MALUS 'ROYAL RAINDROPS',Spring 2019,Yes,-71.1676300003,42.2885500401,No
191,LIQUIDAMBAR STYR,Spring 2019,Yes,-71.137689999,42.288750039899995,No
192,AMELANCHIER X CUMULUS,Spring 2019,Yes,-71.14112000029999,42.2887900412,No
193,MALUS SUGARTYME,Spring 2019,Yes,-71.1315100004,42.288820039899996,No
194,PRUNUS ROSACEAE 'OKAME',Spring 2019,Yes,-71.1672300003,42.2888500412,No
195,GLEDITSIA TRI. INERMIS SKYLINE,Spring 2019,Yes,-71.0663199986,42.2888800398,No
196,GLEDITSIA TRI. INERMIS HALKA,Spring 2019,Yes,-71.0621900004,42.2891600408,No
197,QUERCUS ALBA,Spring 2019,Yes,-71.1179899996,42.2891810402,Yes
198,ULMUS WILSONIANA 'PROSPECTOR',Spring 2019,Yes,-71.0720142872,42.289364520300005,No
199,MALUS 'ROYAL RAINDROPS',Fall 2018,Yes,-71.1127299998,42.2895100411,No
200,QUERCUS ACUTISSIMA,Spring 2019,Yes,-71.1285799996,42.28970004,No
201,LIQUIDAMBAR STYR,Spring 2019,Yes,-71.1377700003,42.289800041199996,No
202,QUERCUS BICOLOR,Spring 2019,Yes,-71.12978999970001,42.289800041199996,No
203,CELTIS OCCIDENTALIS,Spring 2019,Yes,-71.0535999997,42.2898600408,No
204,PRUNUS X YEDOENSIS,Spring 2019,Yes,-71.14453999979999,42.28991004,No
