OBJECTID,SITE_NAME,OWNERSHIP,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong
8258,Copley Place Plaza,MassDOT,Back Bay/Beacon Hill,0.28932601, ,Special District,"Malls, Squares & Plazas"
8259,Marketplace Plaza I,BRA,Central Boston,0.29, ,Commercial/Office/Business District,"Malls, Squares & Plazas"
8260,Marketplace Plaza II,Private,Central Boston,0.1, ,Commercial/Office/Business District,"Malls, Squares & Plazas"
8261,Liberty Square,City of Boston,Central Boston,0.02934972, ,Commercial/Office/Business District,"Malls, Squares & Plazas"
8263,Corey Street Court,BHA,Charlestown,0.17552117, ,Residential District,"Parks, Playgrounds & Athletic Fields"
8264,Moakley Park,City of Boston,South Boston,58.77242512,1187 Columbia Road,Open Space District,"Parks, Playgrounds & Athletic Fields"
8265,Children's Museum Plaza,Private,South Boston,0.44,312 Congress Street,Industrial District,"Malls, Squares & Plazas"
8266,Boston Design Center Plaza,BRA,South Boston,0.61467077, ,Industrial District,"Malls, Squares & Plazas"
8267,Dry Dock Plaza,BRA,South Boston,0.24, ,Industrial District,"Malls, Squares & Plazas"
8268,Marine Industrial Park Entrance I,BRA,South Boston,1.24, ,Industrial District,"Malls, Squares & Plazas"
8269,Marine Industrial Park Entrance II,Massport,South Boston,0.01, ,Industrial District,"Malls, Squares & Plazas"
8271,Kennedy Library Harborwalk,United States of America,Dorchester,3.32160247, ,Industrial District,"Malls, Squares & Plazas"
8272,Boston Medical Center Campus,Private,South End,1.31, ,Institutional District,"Malls, Squares & Plazas"
8275,New Chardon Square,Commonwealth of Massachusetts,Central Boston,1.91, ,Special District,"Malls, Squares & Plazas"
8276,Chandler/Tremont Plaza,City of Boston,South End,0.23,415 Tremont Street,Commercial/Office/Business District,"Malls, Squares & Plazas"
8279,Peabody Square,City of Boston,Dorchester,0.04662133,Ashmont St. & Dorchester Ave.,Commercial/Office/Business District,"Malls, Squares & Plazas"
8280,Savin Hill Cove,Commonwealth of Massachusetts,Dorchester,1.77442501, ,Special District,"Parkways, Reservations & Beaches"
8281,Daniel E. O'Connor Park,City of Boston,Dorchester,0.13514805, ,Residential District,"Malls, Squares & Plazas"
8284,Oakview Terrace,City of Boston,Jamaica Plain,0.10007451,Opposite 34 Oakview Ter.,Open Space District,"Malls, Squares & Plazas"
8285,Belle Isle Marsh Reservation,Commonwealth of Massachusetts,East Boston,142.1, ,Open Space District,"Parkways, Reservations & Beaches"
8287,Allandale Field,Private,West Roxbury,2.63, ,Conservation Protection Subdistrict,"Parks, Playgrounds & Athletic Fields"
8288,Mass Art Campus,Commonwealth of Massachusetts,Fenway/Kenmore,0.31306769, ,Institutional District,"Malls, Squares & Plazas"
8289,Harbor Point Boulevard,Private,Dorchester,2.30972838, ,Residential District,"Malls, Squares & Plazas"
8290,Jamaicaway,City of Boston,Jamaica Plain,4.7210912, ,Institutional District,"Parkways, Reservations & Beaches"
8291,Perkins Street,Commonwealth of Massachusetts,Jamaica Plain,0.22700171, ,Open Space District,"Parkways, Reservations & Beaches"
8292,Chestnut Street,Commonwealth of Massachusetts,Jamaica Plain,1.03901792, ,Conservation Protection Subdistrict,"Parkways, Reservations & Beaches"
8293,Harvard Tract I,Private,Jamaica Plain,5.03376834, ,Conservation Protection Subdistrict,"Parks, Playgrounds & Athletic Fields"
8294,Harvard Tract III,Private,Jamaica Plain,1.45477498, ,Open Space District,"Parks, Playgrounds & Athletic Fields"
8295,Harvard Tract II,Private,Jamaica Plain,5.26425599, ,Residential District,"Parks, Playgrounds & Athletic Fields"
8297,Faneuil Square,City of Boston,Central Boston,0.82, ,Open Space District,"Malls, Squares & Plazas"
8298,Temple Street Park,City of Boston,Back Bay/Beacon Hill,0.05911479,44-46 Temple Street,Residential District,"Malls, Squares & Plazas"
8300,American Legion Highway,City of Boston,Multi-District,6.77872585, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches"
8301,Morton Street,Commonwealth of Massachusetts,Roxbury,0.76090289, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches"
8304,Ohrenberger Woodland,City of Boston,West Roxbury,3.81952214, ,Residential District,Urban Wilds & Natural Areas
8305,Patten's Cove,Commonwealth of Massachusetts,Dorchester,9.57859611, ,Industrial District,"Parkways, Reservations & Beaches"
